low_delta,high_delta,d1_threshold,d2_threshold,n_runs,median_onset,p10_onset,p90_onset,pct_transformed
0.020000,0.040000,1.500000,3.750000,100,-1.000000,-1.000000,-1.000000,0.000000
0.020000,0.040000,1.857143,4.642857,100,-1.000000,-1.000000,-1.000000,0.000000
0.020000,0.040000,2.214286,5.535714,100,-1.000000,-1.000000,-1.000000,0.000000
0.020000,0.040000,2.571429,6.428571,100,-1.000000,-1.000000,-1.000000,0.000000
0.020000,0.040000,2.928571,7.321429,100,83.000000,78.000000,83.000000,3.000000
0.020000,0.040000,3.285714,8.214286,100,91.000000,81.000000,92.000000,13.000000
0.020000,0.040000,3.642857,9.107143,100,84.000000,79.000000,91.000000,44.000000
0.020000,0.040000,4.000000,10.000000,100,79.000000,77.000000,84.000000,98.000000
0.031676,0.063353,1.500000,3.750000,100,-1.000000,-1.000000,-1.000000,0.000000
0.031676,0.063353,1.857143,4.642857,100,-1.000000,-1.000000,-1.000000,0.000000
0.031676,0.063353,2.214286,5.535714,100,54.000000,47.000000,54.000000,3.000000
0.031676,0.063353,2.571429,6.428571,100,59.500000,49.000000,62.000000,10.000000
0.031676,0.063353,2.928571,7.321429,100,55.500000,51.000000,66.000000,22.000000
0.031676,0.063353,3.285714,8.214286,100,55.000000,49.000000,66.000000,53.000000
0.031676,0.063353,3.642857,9.107143,100,49.000000,45.000000,54.000000,95.000000
0.031676,0.063353,4.000000,10.000000,100,50.000000,48.000000,53.000000,100.000000
0.050170,0.100339,1.500000,3.750000,100,40.000000,30.000000,42.000000,13.000000
0.050170,0.100339,1.857143,4.642857,100,42.000000,33.000000,43.000000,13.000000
0.050170,0.100339,2.214286,5.535714,100,37.000000,33.000000,47.000000,23.000000
0.050170,0.100339,2.571429,6.428571,100,36.000000,30.000000,51.000000,49.000000
0.050170,0.100339,2.928571,7.321429,100,36.000000,31.000000,44.000000,65.000000
0.050170,0.100339,3.285714,8.214286,100,33.000000,29.000000,41.000000,92.000000
0.050170,0.100339,3.642857,9.107143,100,33.000000,30.000000,42.000000,99.000000
0.050170,0.100339,4.000000,10.000000,100,32.000000,31.000000,35.000000,100.000000
0.079460,0.158919,1.500000,3.750000,100,22.000000,17.000000,28.000000,87.000000
0.079460,0.158919,1.857143,4.642857,100,25.000000,20.000000,39.000000,50.000000
0.079460,0.158919,2.214286,5.535714,100,25.000000,18.000000,32.000000,76.000000
0.079460,0.158919,2.571429,6.428571,100,25.000000,20.000000,34.000000,85.000000
0.079460,0.158919,2.928571,7.321429,100,22.500000,19.000000,31.000000,98.000000
0.079460,0.158919,3.285714,8.214286,100,23.000000,19.000000,30.000000,100.000000
0.079460,0.158919,3.642857,9.107143,100,20.000000,18.000000,23.000000,100.000000
0.079460,0.158919,4.000000,10.000000,100,21.000000,20.000000,24.000000,100.000000
0.125850,0.251700,1.500000,3.750000,100,11.000000,10.000000,13.000000,100.000000
0.125850,0.251700,1.857143,4.642857,100,16.000000,13.000000,21.000000,100.000000
0.125850,0.251700,2.214286,5.535714,100,17.000000,11.000000,26.000000,98.000000
0.125850,0.251700,2.571429,6.428571,100,16.000000,13.000000,25.000000,99.000000
0.125850,0.251700,2.928571,7.321429,100,13.000000,10.000000,17.000000,100.000000
0.125850,0.251700,3.285714,8.214286,100,13.000000,11.000000,16.000000,100.000000
0.125850,0.251700,3.642857,9.107143,100,15.000000,13.000000,19.000000,100.000000
0.125850,0.251700,4.000000,10.000000,100,14.000000,13.000000,17.000000,100.000000
0.199324,0.398647,1.500000,3.750000,100,6.000000,5.000000,7.000000,100.000000
0.199324,0.398647,1.857143,4.642857,100,9.000000,7.000000,10.000000,100.000000
0.199324,0.398647,2.214286,5.535714,100,8.000000,6.000000,11.000000,100.000000
0.199324,0.398647,2.571429,6.428571,100,10.000000,7.000000,14.000000,100.000000
0.199324,0.398647,2.928571,7.321429,100,9.000000,6.000000,12.000000,100.000000
0.199324,0.398647,3.285714,8.214286,100,9.000000,7.000000,10.000000,100.000000
0.199324,0.398647,3.642857,9.107143,100,8.500000,8.000000,10.000000,100.000000
0.199324,0.398647,4.000000,10.000000,100,9.000000,9.000000,11.000000,100.000000
0.315693,0.631385,1.500000,3.750000,100,4.000000,3.000000,4.000000,100.000000
0.315693,0.631385,1.857143,4.642857,100,5.000000,4.000000,6.000000,100.000000
0.315693,0.631385,2.214286,5.535714,100,6.000000,4.000000,7.000000,100.000000
0.315693,0.631385,2.571429,6.428571,100,7.000000,6.000000,9.000000,100.000000
0.315693,0.631385,2.928571,7.321429,100,6.000000,5.000000,8.000000,100.000000
0.315693,0.631385,3.285714,8.214286,100,5.000000,5.000000,6.000000,100.000000
0.315693,0.631385,3.642857,9.107143,100,6.000000,5.000000,8.000000,100.000000
0.315693,0.631385,4.000000,10.000000,100,6.000000,6.000000,7.000000,100.000000
0.500000,1.000000,1.500000,3.750000,100,3.000000,2.000000,3.000000,100.000000
0.500000,1.000000,1.857143,4.642857,100,3.000000,2.000000,4.000000,100.000000
0.500000,1.000000,2.214286,5.535714,100,4.000000,3.000000,5.000000,100.000000
0.500000,1.000000,2.571429,6.428571,100,3.000000,3.000000,4.000000,100.000000
0.500000,1.000000,2.928571,7.321429,100,4.000000,3.000000,5.000000,100.000000
0.500000,1.000000,3.285714,8.214286,100,4.000000,4.000000,6.000000,100.000000
0.500000,1.000000,3.642857,9.107143,100,4.000000,4.000000,5.000000,100.000000
0.500000,1.000000,4.000000,10.000000,100,5.000000,4.000000,6.000000,100.000000
