brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.041215,0.120507,0.133668,0.166608,0.00554785,1.1400,43.00,53.00,57.00,-1.00
0.044577,0.119081,0.441325,0.141497,0.00378031,3.8300,41.00,52.00,57.00,-1.00
0.043467,0.109495,0.230665,0.227652,0.00551809,3.8300,43.00,50.50,56.00,-1.00
0.042783,0.127905,0.264271,0.103899,0.00490746,3.7800,44.00,52.00,58.50,-1.00
0.042912,0.095086,0.398126,0.172465,0.00400312,4.6300,44.00,52.00,59.00,-1.00
0.043671,0.110592,0.407277,0.141347,0.00364283,4.4300,43.00,50.50,56.50,-1.00
0.045763,0.097133,0.581954,0.148387,0.00454148,6.0400,46.50,54.00,58.00,-1.00
0.043343,0.095581,0.434541,0.168340,0.00396339,3.9900,43.50,52.00,56.50,-1.00
0.057633,0.146725,0.326797,0.134662,0.01243209,6.0400,42.00,51.50,57.00,-1.00
0.044572,0.092311,0.538764,0.171832,0.00447860,6.0700,44.00,53.00,58.50,-1.00
0.043487,0.085731,0.595947,0.144489,0.00557701,1.5300,43.50,55.50,58.50,-1.00
0.044319,0.111623,0.283647,0.154415,0.00369186,2.4400,44.00,52.00,57.50,-1.00
0.044358,0.105680,0.443553,0.149230,0.00364848,5.5100,44.00,53.50,58.50,-1.00
0.045806,0.089173,0.282470,0.185532,0.00453217,2.8200,43.00,49.00,56.00,-1.00
0.050392,0.093126,0.582842,0.121269,0.00578630,3.4500,41.00,52.00,59.00,-1.00
0.040667,0.114634,0.137943,0.147705,0.00536796,5.7700,46.50,55.00,59.00,-1.00
0.044749,0.116799,0.507802,0.140139,0.00398268,6.0500,44.00,55.00,57.00,-1.00
0.044930,0.108714,0.477489,0.209242,0.00449655,4.1300,42.00,49.00,53.00,-1.00
0.046907,0.133872,0.378604,0.102274,0.00480494,3.2900,43.00,54.50,61.00,-1.00
0.044416,0.103790,0.461954,0.101896,0.00433047,1.6600,43.50,53.00,62.50,-1.00
0.052556,0.105431,0.407855,0.134717,0.00469473,2.0400,41.50,53.00,58.00,-1.00
0.043165,0.106557,0.401703,0.142049,0.00369334,5.0200,46.00,55.00,60.00,-1.00
0.044262,0.153424,0.433247,0.103110,0.00836552,3.1900,42.50,54.00,61.50,-1.00
0.039858,0.117261,0.250172,0.119302,0.00502800,4.5400,43.00,52.00,59.00,-1.00
0.043353,0.091976,0.585705,0.122920,0.00532088,3.9700,44.00,52.00,60.00,-1.00
0.039946,0.112755,0.221576,0.205100,0.00559825,5.4300,46.00,53.00,56.00,-1.00
0.047632,0.105105,0.235974,0.131764,0.00403420,3.9900,44.50,54.50,61.00,-1.00
0.052034,0.125866,0.264252,0.112827,0.00519305,4.3900,43.00,54.00,58.00,-1.00
0.040863,0.090146,0.339298,0.212584,0.00533048,4.9200,46.50,54.00,58.00,-1.00
0.043352,0.142342,0.181533,0.121351,0.00657861,5.0800,45.50,56.00,63.00,-1.00
0.044256,0.113135,0.596118,0.119950,0.00483585,6.2000,43.00,53.00,58.50,-1.00
0.044024,0.120196,0.438181,0.131967,0.00389334,5.7800,44.00,52.50,58.00,-1.00
0.050032,0.102875,0.221293,0.175327,0.00464154,2.6300,44.00,53.00,57.00,-1.00
0.045190,0.108329,0.296586,0.222586,0.00483456,1.9600,42.00,51.00,54.00,-1.00
0.052729,0.113088,0.411705,0.114473,0.00491071,5.5800,42.00,53.00,58.00,-1.00
0.039354,0.159159,0.267653,0.103534,0.01355090,6.0200,44.00,54.00,61.50,-1.00
0.036566,0.088506,0.274932,0.150529,0.00696750,6.1200,44.00,53.00,60.50,-1.00
0.046442,0.118208,0.392909,0.161263,0.00367219,6.0200,42.00,51.00,56.50,-1.00
0.040074,0.097229,0.150123,0.198009,0.00618544,3.1300,45.00,53.00,56.50,-1.00
0.047594,0.105435,0.471843,0.138831,0.00379745,3.9900,44.00,53.00,59.00,-1.00
0.047923,0.094923,0.557998,0.166952,0.00461489,4.1300,45.00,51.00,57.00,-1.00
0.046303,0.112101,0.304600,0.146862,0.00358847,4.5600,43.50,53.00,57.00,-1.00
0.046360,0.115205,0.227044,0.173504,0.00406951,6.0000,43.00,51.00,55.50,-1.00
0.044684,0.088754,0.498231,0.169009,0.00443771,4.1500,44.00,52.00,58.00,-1.00
0.046559,0.097390,0.152640,0.157964,0.00478738,4.8700,42.50,53.50,59.00,-1.00
0.039678,0.106677,0.479659,0.129991,0.00477343,6.1500,46.00,55.00,61.00,-1.00
