brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.013128,0.403381,1.177509,0.232804,0.00860247,2.0900,47.00,55.00,56.00,-1.00
0.011084,0.330154,0.926921,0.228430,0.00609677,5.5900,46.00,53.00,58.00,-1.00
0.011382,0.306523,0.772485,0.177627,0.00492035,9.1800,44.00,52.00,57.00,-1.00
0.009705,0.307738,0.372698,0.182194,0.00685676,10.2300,48.50,56.00,62.00,-1.00
0.013915,0.331312,0.585218,0.189298,0.00503940,7.6500,50.00,59.00,62.00,-1.00
0.014220,0.379285,0.405273,0.181975,0.00635009,1.1700,47.50,56.00,61.00,-1.00
0.012511,0.206474,0.642272,0.205477,0.00523675,9.8400,46.00,52.00,57.50,-1.00
0.014902,0.325045,0.735312,0.141706,0.00670074,10.6500,46.00,56.00,61.50,-1.00
0.014027,0.192390,1.024975,0.190338,0.00618620,7.5700,48.00,57.00,61.00,-1.00
0.011189,0.218065,0.386832,0.234704,0.00730924,7.0000,49.00,57.00,58.50,-1.00
0.016126,0.312160,1.196398,0.152897,0.00890206,7.1700,45.00,55.00,60.00,-1.00
0.014610,0.227563,1.148416,0.197903,0.00662143,5.7000,45.00,54.50,59.50,-1.00
0.013362,0.353180,0.715673,0.177329,0.00497547,7.3000,46.00,55.00,61.00,-1.00
0.012124,0.438532,0.651544,0.188792,0.00628577,9.8700,47.00,57.00,62.00,-1.00
0.011943,0.359327,0.811060,0.172934,0.00514775,8.6000,47.00,57.00,63.00,-1.00
0.012130,0.394745,0.642795,0.181318,0.00547723,7.5700,47.00,56.00,56.50,-1.00
0.014556,0.368366,0.446099,0.199827,0.00614535,9.7800,47.50,56.00,60.50,-1.00
0.012365,0.233738,1.016160,0.235316,0.00646716,2.6700,47.50,51.50,56.00,-1.00
0.012732,0.437307,0.524058,0.156930,0.00724569,7.4800,48.00,58.00,65.00,-1.00
0.009485,0.218970,0.737439,0.209667,0.00620332,10.2200,48.00,56.00,61.00,-1.00
0.016146,0.311995,0.688275,0.174378,0.00611299,5.5900,44.50,53.00,58.50,-1.00
0.016257,0.381337,1.102033,0.219392,0.00835906,4.4100,46.00,53.00,58.00,-1.00
0.014670,0.207769,0.315139,0.228708,0.00805203,7.2300,46.00,52.00,56.50,-1.00
0.008635,0.399576,0.824083,0.150741,0.00896474,8.3700,48.00,56.00,62.00,-1.00
0.013698,0.331033,0.772970,0.185936,0.00481006,7.5700,47.00,55.00,60.50,-1.00
0.008722,0.445862,0.839432,0.158332,0.00983714,6.8100,47.50,57.00,64.00,-1.00
0.009840,0.263437,0.879008,0.172754,0.00590297,10.7800,47.50,55.50,60.00,-1.00
0.011382,0.300335,0.818908,0.158544,0.00544925,5.8600,46.00,54.00,60.00,-1.00
0.014190,0.433395,0.820409,0.141792,0.00777612,8.5600,48.50,58.00,63.00,-1.00
0.013519,0.179323,0.734291,0.161736,0.00639824,9.1700,46.00,58.50,64.00,-1.00
0.015589,0.312627,0.501881,0.194351,0.00599898,9.8400,42.00,51.00,57.00,-1.00
0.011651,0.355684,0.549639,0.182842,0.00532332,10.1800,42.00,50.00,56.00,-1.00
0.011579,0.363491,0.515633,0.183448,0.00552717,3.9000,45.00,53.00,59.00,-1.00
0.014478,0.214914,0.978721,0.199157,0.00580870,5.1100,45.00,56.00,61.00,-1.00
