category,metric,phenotype_a,phenotype_b,delta_risk_a_minus_b,clinical_benchmark,ci_95_lo,ci_95_hi
Cumulative Risk,Risk_Age_30,1.9,4.1,-2.1999999999999997,4.0,2.0,7.0
Cumulative Risk,Risk_Age_40,25.0,28.7,-3.6999999999999993,26.0,22.0,30.0
Cumulative Risk,Risk_Age_50,47.5,49.3,-1.7999999999999972,46.0,41.0,52.0
Cumulative Risk,Risk_Age_60,58.1,58.7,-0.6000000000000014,58.0,52.0,65.0
Cumulative Risk,Risk_Age_70,62.9,63.1,-0.20000000000000284,65.0,56.0,73.0
Cumulative Risk,Risk_Age_80,65.1,64.6,0.5,70.0,60.0,80.0
Goodness of Fit,SSE,36.09000000000006,51.45000000000004,,0.0,0.0,0.0
Goodness of Fit,SSE_Weighted,4.394233037482284,4.496162660119981,,0.0,0.0,0.0
Goodness of Fit,Mahalanobis_Distance,1.9678049294622388,1.8615689830294153,,0.0,0.0,0.0
Goodness of Fit,CI_Coverage_Hits,5.0,6.0,,6.0,6.0,6.0
Dual Event Stats,Lifetime_Penetrance_Onset_Pct,65.1,64.6,0.5,70.0,60.0,80.0
Dual Event Stats,Lifetime_Invasion_50pct_Pct,62.1,60.6,1.5,,,
Dual Event Stats,Event_A_Onset_Age_Mean,45.36866359447004,43.922600619195045,1.446062975274998,,,
Dual Event Stats,Event_B_Invasion_Age_Mean,57.42190016103059,58.53135313531353,-1.109452974282938,,,
Dual Event Stats,Progression_Gap_Mean,13.341384863123993,16.234323432343235,-2.8929385692192415,,,
Hypothesis Test,KS_Stat_Onset,0.07777746072962292,0.036662625123875844,,,,
Hypothesis Test,KS_Stat_Invasion,0.07212895202563735,0.07683687581892028,,,,
Hypothesis Test,Welch_t_Onset,2.4144648072164285,0.01589625765815566,,,,
Hypothesis Test,Welch_t_Invasion,-2.1449055017331653,0.03215661208632421,,,,
Hypothesis Test,Welch_t_Prog_Gap,-20.507192568943605,9.08911909672077e-80,,,,
