seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
200000,51,56.41,63,67,-1
200001,33,50.91,43,48,-1
200002,52,50.00,60,69,-1
200003,-1,0.00,-1,-1,-1
200004,-1,0.00,-1,-1,-1
200005,52,50.00,62,69,-1
200006,-1,0.00,-1,-1,-1
200007,37,55.71,47,52,-1
200008,43,50.00,56,61,-1
200009,44,50.00,54,59,-1
200010,48,50.00,55,62,-1
200011,-1,0.00,-1,-1,-1
200012,-1,0.00,-1,-1,-1
200013,40,54.22,50,56,-1
200014,40,55.17,48,54,-1
200015,-1,0.00,-1,-1,-1
200016,39,51.85,49,54,-1
200017,37,53.19,50,56,-1
200018,37,51.67,47,53,-1
200019,51,50.00,63,67,-1
200020,48,51.72,57,64,-1
200021,-1,0.00,-1,-1,-1
200022,44,53.85,54,60,-1
200023,-1,0.00,-1,-1,-1
200024,-1,0.00,-1,-1,-1
200025,-1,0.00,-1,-1,-1
200026,-1,0.00,-1,-1,-1
200027,46,54.55,55,62,-1
200028,35,53.95,46,53,-1
200029,37,53.03,48,52,-1
200030,42,56.00,49,57,-1
200031,32,50.78,41,47,-1
200032,41,50.82,50,57,-1
200033,-1,0.00,-1,-1,-1
200034,37,51.39,47,52,-1
200035,51,50.00,58,64,-1
200036,46,55.26,58,64,-1
200037,-1,0.00,-1,-1,-1
200038,-1,0.00,-1,-1,-1
200039,44,50.88,56,61,-1
200040,33,52.05,42,48,-1
200041,29,50.00,41,48,-1
200042,59,50.00,68,74,-1
200043,-1,0.00,-1,-1,-1
200044,37,50.00,51,56,-1
200045,35,55.26,43,51,-1
200046,45,52.63,55,62,-1
200047,-1,0.00,-1,-1,-1
200048,43,55.00,52,59,-1
200049,35,50.00,41,48,-1
200050,67,28.57,80,-1,-1
200051,-1,0.00,-1,-1,-1
200052,-1,0.00,-1,-1,-1
200053,44,52.50,56,62,-1
200054,45,50.00,56,61,-1
200055,-1,0.00,-1,-1,-1
200056,-1,0.00,-1,-1,-1
200057,59,50.00,69,76,-1
200058,58,54.55,66,72,-1
200059,27,50.50,38,45,-1
200060,52,51.52,63,70,-1
200061,49,55.32,58,65,-1
200062,-1,0.00,-1,-1,-1
200063,35,55.00,43,49,-1
200064,57,52.17,64,69,-1
200065,28,54.26,41,48,-1
200066,-1,0.00,-1,-1,-1
200067,65,7.14,-1,-1,-1
200068,-1,0.00,-1,-1,-1
200069,45,50.00,55,62,-1
200070,60,65.00,64,72,-1
200071,-1,0.00,-1,-1,-1
200072,-1,0.00,-1,-1,-1
200073,40,50.75,50,57,-1
200074,-1,0.00,-1,-1,-1
200075,39,53.16,47,52,-1
200076,-1,0.00,-1,-1,-1
200077,47,52.83,55,61,-1
200078,38,53.12,49,54,-1
200079,45,51.11,55,60,-1
200080,46,52.17,57,63,-1
200081,39,55.88,47,53,-1
200082,-1,0.00,-1,-1,-1
200083,51,53.12,60,67,-1
200084,37,53.49,47,51,-1
200085,34,53.25,46,51,-1
200086,45,52.08,53,59,-1
200087,-1,0.00,-1,-1,-1
200088,-1,0.00,-1,-1,-1
200089,33,52.17,41,46,-1
200090,75,8.33,-1,-1,-1
200091,58,52.63,70,75,-1
200092,33,53.12,43,48,-1
200093,48,50.00,57,64,-1
200094,34,50.00,47,53,-1
200095,42,50.00,51,58,-1
200096,49,52.50,58,65,-1
200097,66,50.00,74,78,-1
200098,-1,0.00,-1,-1,-1
200099,-1,0.00,-1,-1,-1
200100,-1,0.00,-1,-1,-1
200101,39,51.76,47,54,-1
200102,64,33.33,77,-1,-1
200103,67,33.33,78,-1,-1
200104,34,52.63,47,54,-1
200105,69,33.33,80,-1,-1
200106,39,50.72,50,58,-1
200107,49,50.00,60,68,-1
200108,74,37.50,78,-1,-1
200109,35,50.59,43,50,-1
200110,-1,0.00,-1,-1,-1
200111,-1,0.00,-1,-1,-1
200112,36,53.85,50,55,-1
200113,39,50.94,48,53,-1
200114,33,54.17,45,51,-1
200115,-1,0.00,-1,-1,-1
200116,-1,0.00,-1,-1,-1
200117,48,51.85,60,68,-1
200118,-1,0.00,-1,-1,-1
200119,33,53.47,42,48,-1
200120,-1,0.00,-1,-1,-1
200121,-1,0.00,-1,-1,-1
200122,-1,0.00,-1,-1,-1
200123,45,52.83,55,61,-1
200124,77,14.29,-1,-1,-1
200125,-1,0.00,-1,-1,-1
200126,-1,0.00,-1,-1,-1
200127,38,50.68,44,49,-1
200128,-1,0.00,-1,-1,-1
200129,43,52.17,57,64,-1
200130,56,50.00,64,69,-1
200131,-1,0.00,-1,-1,-1
200132,44,54.35,50,54,-1
200133,42,50.00,51,56,-1
200134,44,51.85,54,61,-1
200135,45,53.97,54,60,-1
